2018-05-14-10:52:37,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:39,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:40,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:42,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:43,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:45,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:46,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:48,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:49,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:51,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:52,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:54,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:55,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:57,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:59,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:00,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:02,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:03,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:05,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:06,3:28:96 1A:0:B6 284.2685
2018-05-14-10:53:08,3:28:96 1A:0:B6 284.2685
2018-05-14-10:53:09,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:11,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:12,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:14,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:15,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:17,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:18,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:20,3:28:94 1A:0:B4 284.2657
2018-05-14-10:53:21,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:23,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:24,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:26,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:27,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:29,3:28:96 1A:0:B6 284.2685
2018-05-14-10:53:30,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:32,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:33,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:35,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:36,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:38,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:39,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:41,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:42,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:44,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:45,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:47,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:48,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:50,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:51,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:53,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:54,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:56,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:57,3:28:95 1A:0:B5 284.2671
2018-05-14-10:53:59,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:00,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:02,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:03,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:05,3:28:94 1A:0:B4 284.2657
2018-05-14-10:54:06,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:08,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:09,3:28:94 1A:0:B4 284.2657
2018-05-14-10:54:11,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:12,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:14,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:15,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:17,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:18,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:20,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:21,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:23,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:24,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:26,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:27,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:29,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:30,3:28:94 1A:0:B4 284.2657
2018-05-14-10:54:32,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:33,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:35,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:36,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:38,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:39,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:41,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:42,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:44,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:45,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:47,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:48,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:50,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:51,3:28:94 1A:0:B4 284.2657
2018-05-14-10:54:53,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:54,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:56,3:28:94 1A:0:B4 284.2657
2018-05-14-10:54:57,3:28:95 1A:0:B5 284.2671
2018-05-14-10:54:59,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:00,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:02,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:03,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:05,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:06,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:08,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:09,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:11,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:12,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:14,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:15,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:17,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:18,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:20,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:21,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:23,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:24,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:26,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:27,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:29,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:30,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:32,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:33,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:35,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:36,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:38,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:39,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:41,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:42,3:28:95 1A:0:B5 284.2671
2018-05-14-10:55:44,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:45,3:28:94 1A:0:B4 284.2657
2018-05-14-10:55:47,3:28:94 1A:0:B4 284.2657
